Sentence #	Word	Tag
1	Romelu	B-PER
1	Lukaku	I-PER
1	disse	O
1	que	O
1	previa	O
1	ter	O
1	que	O
1	lidar	O
1	com	O
1	o	O
1	racismo	O
1	quando	O
1	se	O
1	transferiu	O
1	para	O
1	a	O
1	Itália	B-COUNTRY
1	no	O
1	início	O
1	da	O
1	temporada	O
1	e	O
1	quer	O
1	uma	O
1	ação	O
1	mais	O
1	dura	O
1	da	O
1	Uefa	O
1	,	O
1	a	O
1	entidade	O
1	controladora	O
1	do	O
1	futebol	O
1	europeu	O
1	,	O
1	para	O
1	erradicar	O
1	isso	O
1	'	O
1	Eu	O
1	sabia	O
1	que	O
1	isso	O
1	iria	O
1	acontecer	O
1	.	O
1	Estava	O
1	preparado	O
1	porque	O
1	conversei	O
1	com	O
1	outros	O
1	jogadores	O
1	sobre	O
1	isso	O
1	'	O
1	,	O
1	disse	O
1	o	O
1	atacante	O
1	em	O
1	uma	O
1	aparição	O
1	rara	O
1	diante	O
1	da	O
1	mídia	O
1	em	O
1	São	B-CITY
1	Petersburgo	I-CITY
1	na	O
1	sexta-feira	O
1	,	O
1	véspera	O
1	da	O
1	partida	O
1	da	O
1	Bélgica	B-COUNTRY
1	nas	O
1	eliminatórias	O
1	da	O
1	Euro	O
1	2020	O
1	contra	O
1	a	O
1	Rússia	B-COUNTRY
1	'	O
1	A	O
1	Uefa	O
1	tem	O
1	que	O
1	agir	O
1	para	O
1	acabar	O
1	com	O
1	isso	O
1	.	O
1	Você	O
1	pode	O
1	segurar	O
1	um	O
1	quadro	O
1	que	O
1	diz	O
1	'	O
1	Não	O
1	ao	O
1	Racismo	O
1	'	O
1	,	O
1	mas	O
1	isso	O
1	não	O
1	faz	O
1	sentido	O
1	se	O
1	nenhuma	O
1	ação	O
1	for	O
1	tomada	O
1	.	O
1	'Lukaku	B-PER
1	foi	O
1	alvo	O
1	de	O
1	cantos	O
1	ofensivos	O
1	da	O
1	torcida	O
1	local	O
1	em	O
1	Cagliari	B-CITY
1	,	O
1	em	O
1	setembro	O
1	,	O
1	sua	O
1	segunda	O
1	partida	O
1	na	O
1	Itália	B-COUNTRY
1	,	O
1	que	O
1	ele	O
1	condenou	O
1	em	O
1	um	O
1	post	O
1	na	O
1	mídia	O
1	social	O
1	.	O
2	O	O
2	racismo	O
2	tem	O
2	sido	O
2	um	O
2	problema	O
2	de	O
2	longa	O
2	data	O
2	no	O
2	futebol	O
2	italiano	O
2	e	O
2	as	O
2	autoridades	O
2	são	O
2	criticadas	O
2	por	O
2	não	O
2	agir	O
2	com	O
2	força	O
2	suficiente	O
2	'	O
2	Mas	O
2	estou	O
2	me	O
2	divertindo	O
2	na	O
2	Itália	B-COUNTRY
2	.	O
2	As	O
2	pessoas	O
2	na	O
2	rua	O
2	são	O
2	muito	O
2	boas	O
2	para	O
2	mim	O
2	e	O
2	é	O
2	nisso	O
2	que	O
2	quero	O
2	me	O
2	concentrar	O
2	'	O
2	,	O
2	disse	O
2	Lukaku	B-PER
2	a	O
2	repórteres	O
2	.	O
3	Lukaku	B-PER
3	,	O
3	cujo	O
3	pai	O
3	era	O
3	do	O
3	então	O
3	Zaire	B-COUNTRY
3	(	O
3	atual	O
3	República	B-COUNTRY
3	Democrática	I-COUNTRY
3	do	I-COUNTRY
3	Congo	I-COUNTRY
3	)	O
3	,	O
3	trocou	O
3	o	O
3	Manchester	O
3	United	O
3	pela	O
3	Inter	O
3	de	O
3	Milão	O
3	em	O
3	agosto	O
3	por	O
3	uma	O
3	taxa	O
3	de	O
3	transferência	O
3	estimada	O
3	em	O
3	80	O
3	milhões	O
3	de	O
3	euros	O
3	.	O
4	Por	O
4	mais	O
4	que	O
4	a	O
4	gente	O
4	se	O
4	esforce	O
4	para	O
4	ampliar	O
4	a	O
4	visão	O
4	de	O
4	mundo	O
4	que	O
4	nos	O
4	foi	O
4	contada	O
4	,	O
4	não	O
4	é	O
4	raro	O
4	que	O
4	pensamentos	O
4	mesquinhos	O
4	ou	O
4	invejosos	O
4	venham	O
4	nos	O
4	visitar	O
4	.	O
5	De	O
5	repente	O
5	somos	O
5	tomados	O
5	por	O
5	sentimentos	O
5	que	O
5	se	O
5	opõem	O
5	a	O
5	crenças	O
5	e	O
5	princípios	O
5	,	O
5	e	O
5	revelam	O
5	a	O
5	dificuldade	O
5	que	O
5	é	O
5	evoluir	O
5	emocionalmente	O
5	.	O
6	Quem	O
6	nunca	O
6	culpou	O
6	o	O
6	outro	O
6	,	O
6	mesmo	O
6	que	O
6	mentalmente	O
6	,	O
6	pelo	O
6	nosso	O
6	país	O
6	nunca	O
6	dar	O
6	certo	O
6	?	O
6	Ou	O
6	então	O
6	acreditou	O
6	que	O
6	o	O
6	motivo	O
6	do	O
6	erro	O
6	de	O
6	alguém	O
6	tivesse	O
6	a	O
6	ver	O
6	com	O
6	a	O
6	sua	O
6	raça	O
6	,	O
6	classe	O
6	,	O
6	gênero	O
6	,	O
6	religião	O
6	ou	O
6	orientação	O
6	sexual	O
6	?	O
6	E	O
6	se	O
6	deixou	O
6	levar	O
6	pelo	O
6	chavão	O
6	'	O
6	tinha	O
6	que	O
6	ser	O
6	'	O
6	e	O
6	inferiorizou	O
6	o	O
6	próximo	O
6	simplesmente	O
6	por	O
6	ele	O
6	ser	O
6	diferente	O
6	de	O
6	você	O
6	?	O
6	São	O
6	reações	O
6	que	O
6	estão	O
6	ligadas	O
6	com	O
6	desamparo	O
6	e	O
6	fragilidade	O
6	interiores	O
6	,	O
6	que	O
6	causam	O
6	angústia	O
6	ao	O
6	se	O
6	deparar	O
6	com	O
6	aquilo	O
6	que	O
6	foge	O
6	do	O
6	próprio	O
6	repertório	O
6	.	O
7	Ao	O
7	culpar	O
7	ou	O
7	inferiorizar	O
7	o	O
7	outro	O
7	,	O
7	de	O
7	certa	O
7	forma	O
7	alivio	O
7	o	O
7	incômodo	O
7	que	O
7	sinto	O
7	por	O
7	ele	O
7	não	O
7	se	O
7	enquadrar	O
7	aos	O
7	sistemas	O
7	de	O
7	rótulos	O
7	aos	O
7	quais	O
7	estou	O
7	acostumado	O
7	.	O
8	Muitas	O
8	vezes	O
8	são	O
8	padrões	O
8	convencionados	O
8	como	O
8	ideais	O
8	na	O
8	sociedade	O
8	,	O
8	a	O
8	partir	O
8	de	O
8	práticas	O
8	e	O
8	características	O
8	que	O
8	devem	O
8	ser	O
8	almejadas	O
8	e	O
8	valorizadas	O
8	por	O
8	todos	O
8	.	O
9	Aqueles	O
9	que	O
9	fogem	O
9	dessa	O
9	representação	O
9	hegemônica	O
9	tida	O
9	como	O
9	bem	O
9	aceita	O
9	não	O
9	são	O
9	dignos	O
9	da	O
9	minha	O
9	humanidade	O
9	.	O
10	A	O
10	próxima	O
10	etapa	O
10	é	O
10	desenvolver	O
10	o	O
10	chamado	O
10	'	O
10	bom	O
10	sentimento	O
10	de	O
10	si	O
10	'	O
10	,	O
10	quando	O
10	todos	O
10	aqueles	O
10	que	O
10	são	O
10	diferentes	O
10	do	O
10	sujeito	O
10	não	O
10	precisam	O
10	mais	O
10	ser	O
10	encarados	O
10	como	O
10	ameaça	O
10	à	O
10	integridade	O
10	do	O
10	Eu	O
10	.	O
11	Assim	O
11	surge	O
11	a	O
11	noção	O
11	de	O
11	alteridade	O
11	,	O
11	que	O
11	identifica	O
11	e	O
11	reconhece	O
11	as	O
11	diferenças	O
11	do	O
11	Outro	O
11	,	O
11	e	O
11	que	O
11	possibilita	O
11	aceitar	O
11	que	O
11	existem	O
11	outras	O
11	origens	O
11	,	O
11	outras	O
11	culturas	O
11	e	O
11	outras	O
11	subjetividades	O
11	no	O
11	mundo	O
11	compartilhado	O
11	por	O
11	nós	O
11	.	O
12	Mas	O
12	nem	O
12	sempre	O
12	esse	O
12	processo	O
12	é	O
12	bem-sucedido	O
12	e	O
12	pode	O
12	se	O
12	prolongar	O
12	por	O
12	toda	O
12	a	O
12	vida	O
12	,	O
12	numa	O
12	deficiência	O
12	que	O
12	costuma	O
12	ser	O
12	agravado	O
12	em	O
12	situações	O
12	de	O
12	adversidade	O
12	.	O
12	'	O
12	É	O
12	importante	O
12	ressaltar	O
12	que	O
12	o	O
12	desenvolvimento	O
12	psíquico	O
12	do	O
12	ser	O
12	humano	O
12	não	O
12	se	O
12	dá	O
12	de	O
12	modo	O
12	linear	O
12	.	O
12	Os	O
12	estágios	O
12	primitivos	O
12	ou	O
12	infantis	O
12	não	O
12	ficam	O
12	para	O
12	trás	O
12	conforme	O
12	modos	O
12	de	O
12	defesa	O
12	mais	O
12	elaborados	O
12	são	O
12	desenvolvidos	O
12	.	O
12	Eles	O
12	seguem	O
12	latentes	O
12	no	O
12	sujeito	O
12	como	O
12	núcleos	O
12	defensivos	O
12	que	O
12	podem	O
12	ser	O
12	recrutados	O
12	a	O
12	qualquer	O
12	instante	O
12	'	O
12	,	O
12	detalha	O
12	Martins	B-PER
12	.	O
13	Assim	O
13	,	O
13	quando	O
13	o	O
13	nosso	O
13	psiquismo	O
13	julga	O
13	que	O
13	a	O
13	existência	O
13	está	O
13	ameaçada	O
13	,	O
13	mais	O
13	brutal	O
13	e	O
13	menos	O
13	lapidada	O
13	é	O
13	a	O
13	nossa	O
13	reação	O
13	.	O
14	Apesar	O
14	do	O
14	grande	O
14	avanço	O
14	na	O
14	formação	O
14	do	O
14	ser	O
14	quando	O
14	há	O
14	o	O
14	entendimento	O
14	de	O
14	que	O
14	existem	O
14	diferenças	O
14	de	O
14	identidade	O
14	e	O
14	que	O
14	não	O
14	se	O
14	pode	O
14	ditar	O
14	todas	O
14	as	O
14	regras	O
14	do	O
14	mundo	O
14	,	O
14	essas	O
14	experiências	O
14	de	O
14	alteridade	O
14	e	O
14	coletividade	O
14	são	O
14	complexas	O
14	e	O
14	exigem	O
14	muito	O
14	trabalho	O
14	psíquico	O
14	aos	O
14	indivíduos	O
14	.	O
15	Nada	O
15	mais	O
15	cômodo	O
15	do	O
15	que	O
15	fechar	O
15	os	O
15	olhos	O
15	para	O
15	as	O
15	renúncias	O
15	que	O
15	temos	O
15	que	O
15	fazer	O
15	diariamente	O
15	e	O
15	sonhar	O
15	com	O
15	uma	O
15	realidade	O
15	onde	O
15	as	O
15	únicas	O
15	regras	O
15	existentes	O
15	são	O
15	as	O
15	que	O
15	nos	O
15	favorecem	O
15	.	O
16	Estabelecer	O
16	marcas	O
16	de	O
16	desqualificação	O
16	para	O
16	legitimar	O
16	atos	O
16	de	O
16	dominação	O
16	social	O
16	e	O
16	política	O
16	,	O
16	como	O
16	a	O
16	invasão	O
16	e	O
16	tomada	O
16	de	O
16	territórios	O
16	,	O
16	e	O
16	a	O
16	escravização	O
16	e	O
16	genocídio	O
16	de	O
16	populações	O
16	.	O
17	Ao	O
17	longo	O
17	da	O
17	modernidade	O
17	,	O
17	a	O
17	construção	O
17	do	O
17	outro	O
17	enquanto	O
17	diferente	O
17	não	O
17	teve	O
17	como	O
17	base	O
17	a	O
17	aceitação	O
17	e	O
17	a	O
17	troca	O
17	de	O
17	experiências	O
17	plurais	O
17	e	O
17	diversas	O
17	,	O
17	mas	O
17	surgiu	O
17	a	O
17	partir	O
17	da	O
17	imposição	O
17	de	O
17	marcadores	O
17	que	O
17	delimitavam	O
17	uma	O
17	única	O
17	via	O
17	a	O
17	ser	O
17	seguida	O
17	:	O
17	a	O
17	da	O
17	normalidade	O
17	.	O
18	E	O
18	tudo	O
18	aquilo	O
18	que	O
18	estivesse	O
18	fora	O
18	dessa	O
18	convenção	O
18	,	O
18	moldada	O
18	pela	O
18	moral	O
18	e	O
18	pelos	O
18	bons	O
18	costumes	O
18	,	O
18	seriam	O
18	os	O
18	algozes	O
18	,	O
18	culpados	O
18	e	O
18	causadores	O
18	da	O
18	desordem	O
18	e	O
18	do	O
18	caos	O
18	social	O
18	'	O
18	Por	O
18	isso	O
18	,	O
18	estamos	O
18	acostumados	O
18	a	O
18	atribuir	O
18	a	O
18	alguns	O
18	corpos	O
18	performances	O
18	sociais	O
18	marginalizadas	O
18	como	O
18	a	O
18	promiscuidade	O
18	,	O
18	criminalidade	O
18	,	O
18	baixa	O
18	intelectualidade	O
18	,	O
18	naturalizando	O
18	o	O
18	lugar	O
18	da	O
18	diferença	O
18	,	O
18	e	O
18	também	O
18	a	O
18	discriminação	O
18	e	O
18	as	O
18	desigualdades	O
18	sociais	O
18	e	O
18	raciais	O
18	'	O
18	,	O
18	destaca	O
18	a	O
18	psicóloga	O
18	Veridiana	B-PER
18	Machado	I-PER
18	,	O
18	professora	O
18	na	O
18	Escola	B-ORG
18	Bahiana	I-ORG
18	de	I-ORG
18	Medicina	I-ORG
18	e	I-ORG
18	Saúde	I-ORG
18	Pública	I-ORG
18	e	O
18	coordenadora	O
18	nacional	O
18	da	O
18	ANPSINEP	B-ORG
18	(	O
18	Articulação	B-ORG
18	Nacional	I-ORG
18	de	I-ORG
18	Psicólogas(os	I-ORG
18	)	I-ORG
18	Negras(os	I-ORG
18	)	I-ORG
18	e	I-ORG
18	Pesquisadoras(es	I-ORG
18	)	I-ORG
18	)	O
18	.	O
19	Dessa	O
19	forma	O
19	,	O
19	a	O
19	reação	O
19	mais	O
19	comum	O
19	é	O
19	de	O
19	intolerância	O
19	com	O
19	os	O
19	diferentes	O
19	e	O
19	de	O
19	gratificação	O
19	ao	O
